KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 1, "allocated_mib": 1412, "reserved_mib": 1798, "max_allocated_mib": 1729, "max_reserved_mib": 1798}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 25, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 26, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 27, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 28, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 29, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 30, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 31, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 32, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 33, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 34, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 35, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 36, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 37, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 38, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 39, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "step": 40, "allocated_mib": 1412, "reserved_mib": 2178, "max_allocated_mib": 1729, "max_reserved_mib": 2178}
KSOLVER_VRAM_RESULT {"activation_checkpointing": true, "batch_size": 1, "dataloader_sleep_ms": 8, "elapsed_seconds": 3.3753416538238525, "error": null, "family": "transformer", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": 16, "hidden_size": 1024, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 8, "model_arch": "gpt", "nvidia_smi_peak_used_mib": 3741, "nvidia_smi_samples": [{"elapsed_seconds": 7.152557373046875e-07, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 36.37, "temp_c": 43, "ts": "2026/07/06 02:00:08.292"}, {"elapsed_seconds": 0.13446259498596191, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 35.55, "temp_c": 43, "ts": "2026/07/06 02:00:08.452"}, {"elapsed_seconds": 0.3045179843902588, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 34.22, "temp_c": 43, "ts": "2026/07/06 02:00:08.602"}, {"elapsed_seconds": 0.4396381378173828, "gpu_util_pct": 0, "memory_used_mib": 1105, "power_w": 33.67, "temp_c": 43, "ts": "2026/07/06 02:00:08.739"}, {"elapsed_seconds": 0.5800330638885498, "gpu_util_pct": 8, "memory_used_mib": 1541, "power_w": 24.79, "temp_c": 43, "ts": "2026/07/06 02:00:08.880"}, {"elapsed_seconds": 0.7203962802886963, "gpu_util_pct": 24, "memory_used_mib": 1827, "power_w": 32.93, "temp_c": 43, "ts": "2026/07/06 02:00:09.017"}, {"elapsed_seconds": 0.8579447269439697, "gpu_util_pct": 24, "memory_used_mib": 1827, "power_w": 35.98, "temp_c": 43, "ts": "2026/07/06 02:00:09.155"}, {"elapsed_seconds": 1.0162420272827148, "gpu_util_pct": 8, "memory_used_mib": 1827, "power_w": 47.67, "temp_c": 43, "ts": "2026/07/06 02:00:09.313"}, {"elapsed_seconds": 1.1514687538146973, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 51.21, "temp_c": 44, "ts": "2026/07/06 02:00:09.447"}, {"elapsed_seconds": 1.3296747207641602, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 59.94, "temp_c": 44, "ts": "2026/07/06 02:00:09.620"}, {"elapsed_seconds": 1.4572126865386963, "gpu_util_pct": 0, "memory_used_mib": 1921, "power_w": 64.55, "temp_c": 44, "ts": "2026/07/06 02:00:09.751"}, {"elapsed_seconds": 1.590477705001831, "gpu_util_pct": 7, "memory_used_mib": 3361, "power_w": 80.82, "temp_c": 44, "ts": "2026/07/06 02:00:09.886"}, {"elapsed_seconds": 1.7249231338500977, "gpu_util_pct": 66, "memory_used_mib": 3741, "power_w": 91.43, "temp_c": 44, "ts": "2026/07/06 02:00:10.067"}, {"elapsed_seconds": 1.9073505401611328, "gpu_util_pct": 77, "memory_used_mib": 3741, "power_w": 123.67, "temp_c": 44, "ts": "2026/07/06 02:00:10.216"}, {"elapsed_seconds": 2.059422492980957, "gpu_util_pct": 77, "memory_used_mib": 3741, "power_w": 138.45, "temp_c": 44, "ts": "2026/07/06 02:00:10.379"}, {"elapsed_seconds": 2.2184174060821533, "gpu_util_pct": 72, "memory_used_mib": 3741, "power_w": 171.42, "temp_c": 52, "ts": "2026/07/06 02:00:10.530"}, {"elapsed_seconds": 2.3667421340942383, "gpu_util_pct": 72, "memory_used_mib": 3741, "power_w": 186.06, "temp_c": 52, "ts": "2026/07/06 02:00:10.663"}, {"elapsed_seconds": 2.5001261234283447, "gpu_util_pct": 77, "memory_used_mib": 3741, "power_w": 218.85, "temp_c": 52, "ts": "2026/07/06 02:00:10.788"}, {"elapsed_seconds": 2.629409074783325, "gpu_util_pct": 77, "memory_used_mib": 3741, "power_w": 233.45, "temp_c": 52, "ts": "2026/07/06 02:00:10.920"}, {"elapsed_seconds": 2.756660223007202, "gpu_util_pct": 73, "memory_used_mib": 3741, "power_w": 247.35, "temp_c": 52, "ts": "2026/07/06 02:00:11.090"}, {"elapsed_seconds": 2.927319288253784, "gpu_util_pct": 72, "memory_used_mib": 3741, "power_w": 246.67, "temp_c": 52, "ts": "2026/07/06 02:00:11.234"}, {"elapsed_seconds": 3.0775506496429443, "gpu_util_pct": 76, "memory_used_mib": 3741, "power_w": 247.9, "temp_c": 52, "ts": "2026/07/06 02:00:11.400"}, {"elapsed_seconds": 3.2426960468292236, "gpu_util_pct": 76, "memory_used_mib": 3741, "power_w": 246.87, "temp_c": 52, "ts": "2026/07/06 02:00:11.536"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 166337792, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 11.850652201291936, "scenario": "iter2-long-gpt-fp16-ckpt1-b1-s2048", "schema_version": 1, "seq_len": 2048, "steps_completed": 40, "steps_requested": 40, "torch_peak_allocated_mib": 1729, "torch_peak_reserved_mib": 2178, "trainer_style": "hf-trainer-style"}
