KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 1, "allocated_mib": 848, "reserved_mib": 1052, "max_allocated_mib": 1025, "max_reserved_mib": 1052}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 15, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 16, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 17, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 18, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 19, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 20, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 21, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 22, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 23, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 24, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 25, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 26, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 27, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 28, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 29, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 30, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 31, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 32, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 33, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 34, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 35, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 36, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 37, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 38, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 39, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 40, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 41, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 42, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 43, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 44, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 45, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 46, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 47, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 48, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 49, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 50, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 51, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 52, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 53, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 54, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 55, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 56, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 57, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 58, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 59, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "step": 60, "allocated_mib": 848, "reserved_mib": 1430, "max_allocated_mib": 1073, "max_reserved_mib": 1430}
KSOLVER_VRAM_RESULT {"activation_checkpointing": true, "batch_size": 4, "dataloader_sleep_ms": 8, "elapsed_seconds": 3.2412874698638916, "error": null, "family": "transformer", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": 12, "hidden_size": 768, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 6, "model_arch": "gpt", "nvidia_smi_peak_used_mib": 2993, "nvidia_smi_samples": [{"elapsed_seconds": 7.152557373046875e-07, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 34.98, "temp_c": 43, "ts": "2026/07/06 01:58:50.933"}, {"elapsed_seconds": 0.1646575927734375, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 34.14, "temp_c": 43, "ts": "2026/07/06 01:58:51.085"}, {"elapsed_seconds": 0.30045104026794434, "gpu_util_pct": 1, "memory_used_mib": 1105, "power_w": 32.99, "temp_c": 43, "ts": "2026/07/06 01:58:51.219"}, {"elapsed_seconds": 0.43860626220703125, "gpu_util_pct": 1, "memory_used_mib": 1587, "power_w": 34.68, "temp_c": 43, "ts": "2026/07/06 01:58:51.358"}, {"elapsed_seconds": 0.5780527591705322, "gpu_util_pct": 23, "memory_used_mib": 1675, "power_w": 36.78, "temp_c": 43, "ts": "2026/07/06 01:58:51.493"}, {"elapsed_seconds": 0.7457587718963623, "gpu_util_pct": 0, "memory_used_mib": 1675, "power_w": 40.19, "temp_c": 43, "ts": "2026/07/06 01:58:51.659"}, {"elapsed_seconds": 0.87565016746521, "gpu_util_pct": 0, "memory_used_mib": 1675, "power_w": 44.71, "temp_c": 43, "ts": "2026/07/06 01:58:51.802"}, {"elapsed_seconds": 1.0484962463378906, "gpu_util_pct": 0, "memory_used_mib": 1675, "power_w": 54.98, "temp_c": 44, "ts": "2026/07/06 01:58:51.958"}, {"elapsed_seconds": 1.1803674697875977, "gpu_util_pct": 4, "memory_used_mib": 1775, "power_w": 62.36, "temp_c": 44, "ts": "2026/07/06 01:58:52.127"}, {"elapsed_seconds": 1.3431973457336426, "gpu_util_pct": 14, "memory_used_mib": 2615, "power_w": 70.08, "temp_c": 44, "ts": "2026/07/06 01:58:52.260"}, {"elapsed_seconds": 1.4793407917022705, "gpu_util_pct": 14, "memory_used_mib": 2993, "power_w": 78.85, "temp_c": 44, "ts": "2026/07/06 01:58:52.389"}, {"elapsed_seconds": 1.6064772605895996, "gpu_util_pct": 47, "memory_used_mib": 2993, "power_w": 98.43, "temp_c": 45, "ts": "2026/07/06 01:58:52.515"}, {"elapsed_seconds": 1.7332558631896973, "gpu_util_pct": 49, "memory_used_mib": 2993, "power_w": 109.1, "temp_c": 45, "ts": "2026/07/06 01:58:52.671"}, {"elapsed_seconds": 1.9010672569274902, "gpu_util_pct": 52, "memory_used_mib": 2993, "power_w": 132.25, "temp_c": 45, "ts": "2026/07/06 01:58:52.838"}, {"elapsed_seconds": 2.0600717067718506, "gpu_util_pct": 52, "memory_used_mib": 2993, "power_w": 142.49, "temp_c": 50, "ts": "2026/07/06 01:58:52.972"}, {"elapsed_seconds": 2.220602035522461, "gpu_util_pct": 52, "memory_used_mib": 2993, "power_w": 165.64, "temp_c": 50, "ts": "2026/07/06 01:58:53.132"}, {"elapsed_seconds": 2.3611810207366943, "gpu_util_pct": 52, "memory_used_mib": 2993, "power_w": 185.03, "temp_c": 50, "ts": "2026/07/06 01:58:53.304"}, {"elapsed_seconds": 2.5252845287323, "gpu_util_pct": 52, "memory_used_mib": 2993, "power_w": 191.07, "temp_c": 50, "ts": "2026/07/06 01:58:53.478"}, {"elapsed_seconds": 2.6966636180877686, "gpu_util_pct": 53, "memory_used_mib": 2993, "power_w": 194.97, "temp_c": 50, "ts": "2026/07/06 01:58:53.625"}, {"elapsed_seconds": 2.840553045272827, "gpu_util_pct": 53, "memory_used_mib": 2993, "power_w": 195.22, "temp_c": 50, "ts": "2026/07/06 01:58:53.756"}, {"elapsed_seconds": 2.970940113067627, "gpu_util_pct": 50, "memory_used_mib": 2993, "power_w": 193.72, "temp_c": 50, "ts": "2026/07/06 01:58:53.895"}, {"elapsed_seconds": 3.117088794708252, "gpu_util_pct": 52, "memory_used_mib": 2993, "power_w": 195.42, "temp_c": 49, "ts": "2026/07/06 01:58:54.025"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 91711232, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 74.04465115526396, "scenario": "iter2-repeat-gpt-fp16-b4-s512-ckpt1-r3", "schema_version": 1, "seq_len": 512, "steps_completed": 60, "steps_requested": 60, "torch_peak_allocated_mib": 1073, "torch_peak_reserved_mib": 1430, "trainer_style": "hf-trainer-style"}
